Tahun;P_SMA_TI;P_SMK_TI;P_MA_TI; IU_SMA_TI ; IU_SMK_TI ; IU_MA_TI ;P_SMA_SI;P_SMK_SI;P_MA_SI;IU_SMA_SI;IU_SMK_SI;IU_MA_SI;Jml_Mhs_TI;Jml_Mhs_SI;Jml_Mhs_FTI
2023; 235 ; 117 ; 39 ; 208 ; 104 ; 35 ; 56 ; 28 ; 9 ; 53 ; 27 ; 9 ;346;209;555
2022; 344 ; 172 ; 57 ; 304 ; 152 ; 51 ; 82 ; 41 ; 14 ; 78 ; 39 ; 13 ;507;191;698
2021; 199 ; 99 ; 33 ; 176 ; 88 ; 29 ; 48 ; 24 ; 8 ; 45 ; 23 ; 8 ;293;157;450
2020; 162 ; 81 ; 27 ; 143 ; 72 ; 24 ; 39 ; 19 ; 6 ; 37 ; 18 ; 6 ;239;127;366
2019; 138 ; 69 ; 23 ; 122 ; 61 ; 20 ; 33 ; 17 ; 6 ; 32 ; 16 ; 5 ;204;92;296
2018; 120 ; 60 ; 20 ; 106 ; 53 ; 18 ; 29 ; 14 ; 5 ; 27 ; 14 ; 5 ;177;76;253
2017; 168 ; 84 ; 28 ; 149 ; 74 ; 25 ; 40 ; 20 ; 7 ; 38 ; 19 ; 6 ;248;61;309
2016; 189 ; 95 ; 32 ; 167 ; 84 ; 28 ; 45 ; 23 ; 8 ; 43 ; 22 ; 7 ;279;102;381
2015; 151 ; 76 ; 25 ; 134 ; 67 ; 22 ; 36 ; 18 ; 6 ; 34 ; 17 ; 6 ;223;143;366
2014; 137 ; 68 ; 23 ; 121 ; 61 ; 20 ; 33 ; 16 ; 5 ; 31 ; 16 ; 5 ;202;161;363
2013; 116 ; 58 ; 19 ; 103 ; 51 ; 17 ; 28 ; 14 ; 5 ; 26 ; 13 ; 4 ;171;177;348
